game_id,season,week,gameday,recorded,source,p_logistic,p_logistic_blitz,p_vegas
2026_03_LA_DEN,2026,3,2026-09-27,2026-09-21 18:18,live,0.5549443641187783,0.5957033705888353,0.448558885283451
2026_03_LV_NO,2026,3,2026-09-27,2026-09-21 18:18,live,0.5656218358633655,0.5556340659101077,0.6092362344582594
2026_03_MIN_TB,2026,3,2026-09-27,2026-09-21 18:18,live,0.5414229044700762,0.527446527361251,0.4572564612326044
2026_03_NE_JAX,2026,3,2026-09-27,2026-09-21 18:18,live,0.576475060048431,0.5459458348080911,0.5829926410466066
2026_03_NYJ_DET,2026,3,2026-09-27,2026-09-21 18:18,live,0.7427643994543626,0.751836121487786,0.705033164260632
2026_03_SEA_WAS,2026,3,2026-09-27,2026-09-21 18:18,live,0.3730480522168922,0.337601689247688,0.28644876973925815
2026_03_TEN_NYG,2026,3,2026-09-27,2026-09-21 18:18,live,0.7771433805590217,0.7570587114711721,0.705033164260632
2026_03_PHI_CHI,2026,3,2026-09-28,2026-09-21 18:18,live,0.5057902823280838,0.46586833193334054,0.3962430290578221
2026_04_PIT_CLE,2026,4,2026-10-01,2026-09-21 18:18,live,0.451102350692104,0.5141391326134924,
2026_04_ARI_NYG,2026,4,2026-10-04,2026-09-21 18:18,live,0.6887072575983537,0.7054864289555314,
2026_04_DAL_HOU,2026,4,2026-10-04,2026-09-21 18:18,live,0.5428434881167131,0.5710305544731485,
2026_04_DEN_SF,2026,4,2026-10-04,2026-09-21 18:18,live,0.7064718493623393,0.6871991798612183,
2026_04_DET_CAR,2026,4,2026-10-04,2026-09-21 18:18,live,0.4854365469374318,0.5432474228846725,
2026_04_GB_TB,2026,4,2026-10-04,2026-09-21 18:18,live,0.5074502762267293,0.5183069518673555,
2026_04_IND_WAS,2026,4,2026-10-04,2026-09-21 18:18,live,0.5315159053069138,0.4896623888467749,
2026_04_JAX_CIN,2026,4,2026-10-04,2026-09-21 18:18,live,0.5545625595489674,0.5554849339117152,
2026_04_KC_LV,2026,4,2026-10-04,2026-09-21 18:18,live,0.3810187175167816,0.38038182458539693,
2026_04_LAC_SEA,2026,4,2026-10-04,2026-09-21 18:18,live,0.7829076246455446,0.8021608082356508,
2026_04_LA_PHI,2026,4,2026-10-04,2026-09-21 18:18,live,0.6005881037334023,0.6544713696884731,
2026_04_MIA_MIN,2026,4,2026-10-04,2026-09-21 18:18,live,0.6869535875484702,0.6718953198015023,
2026_04_NE_BUF,2026,4,2026-10-04,2026-09-21 18:18,live,0.6267226446372305,0.636601082230051,
2026_04_NYJ_CHI,2026,4,2026-10-04,2026-09-21 18:18,live,0.6548521106530304,0.665018653294516,
2026_04_TEN_BAL,2026,4,2026-10-04,2026-09-21 18:18,live,0.8318815655767752,0.827003635991478,
2026_04_ATL_NO,2026,4,2026-10-05,2026-09-21 18:18,live,0.5795462711859849,0.5918536573193615,
2026_05_TB_DAL,2026,5,2026-10-08,2026-09-21 18:18,live,0.6282941206282967,0.5870827299124213,
2026_05_BAL_ATL,2026,5,2026-10-11,2026-09-21 18:18,live,0.399424730159843,0.35961667833653593,
2026_05_CHI_GB,2026,5,2026-10-11,2026-09-21 18:18,live,0.545101208091505,0.5553556913463262,
2026_05_CIN_MIA,2026,5,2026-10-11,2026-09-21 18:18,live,0.4362474834257577,0.4807577527865467,
2026_05_CLE_NYJ,2026,5,2026-10-11,2026-09-21 18:18,live,0.6191730403317375,0.5704010194756167,
2026_05_DEN_LAC,2026,5,2026-10-11,2026-09-21 18:18,live,0.45029699313253174,0.4310946818397207,
2026_05_DET_ARI,2026,5,2026-10-11,2026-09-21 18:18,live,0.3909041745166206,0.4027630935392118,
2026_05_HOU_TEN,2026,5,2026-10-11,2026-09-21 18:18,live,0.33938323843142754,0.3499595392679123,
2026_05_IND_PIT,2026,5,2026-10-11,2026-09-21 18:18,live,0.6496790288014612,0.6064228822110814,
